Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large,baseline_mape,mape_impr_pct,mape_impr_abs,grp_order
RandomForest,Sig_All,120,20,1.3877,99.0663,142.2729,0.7554,50.1,2.6778,52.94,1.3892,0.108,0.0015,4
RandomForest,All_Macro,120,20,1.4663,104.5433,150.8172,0.7251,49.52,2.8258,50.74,1.3892,-5.55,-0.0771,5
RandomForest,All_Commodity_Regional,120,20,1.3989,99.8862,143.4896,0.7512,49.13,2.6999,52.94,1.3892,-0.698,-0.0097,6
RandomForest,All_Covariates,120,20,1.4511,103.5222,149.7139,0.7291,48.94,2.7982,50.74,1.3892,-4.456,-0.0619,7
XGBoost,Baseline,20,20,1.3948,99.5365,141.6669,0.7575,48.36,2.6905,52.21,1.3948,0.0,0.0,0
XGBoost,Sig_Macro,20,20,1.3865,98.9599,141.6288,0.7576,48.55,2.6749,52.94,1.3948,0.595,0.0083,1
XGBoost,Sig_Commodity,20,20,1.3446,96.0543,141.6651,0.7575,49.52,2.5963,53.68,1.3948,3.599,0.0502,2
XGBoost,Sig_All,20,20,1.3448,96.0124,139.8431,0.7637,49.71,2.5952,53.68,1.3948,3.585,0.05,4
XGBoost,All_Macro,20,20,1.4344,102.4094,147.1311,0.7384,46.44,2.7681,48.53,1.3948,-2.839,-0.0396,5
XGBoost,All_Commodity_Regional,20,20,1.3925,99.5476,141.9807,0.7564,48.17,2.6908,55.88,1.3948,0.165,0.0023,6
XGBoost,All_Covariates,20,20,1.4025,100.2728,143.1849,0.7522,48.36,2.7104,58.82,1.3948,-0.552,-0.0077,7
XGBoost,Baseline,120,20,1.3898,99.0519,137.8194,0.7705,47.4,2.6774,52.21,1.3898,0.0,0.0,0
XGBoost,Sig_Macro,120,20,1.42,101.1097,139.0363,0.7664,47.59,2.733,50.0,1.3898,-2.173,-0.0302,1
XGBoost,Sig_Commodity,120,20,1.3634,97.1839,136.206,0.7758,48.36,2.6269,52.21,1.3898,1.9,0.0264,2
XGBoost,Sig_All,120,20,1.3172,93.984,131.5778,0.7908,49.33,2.5404,53.68,1.3898,5.224,0.0726,4
XGBoost,All_Macro,120,20,1.4312,101.9519,145.0238,0.7458,46.44,2.7558,50.0,1.3898,-2.979,-0.0414,5
XGBoost,All_Commodity_Regional,120,20,1.3647,97.2443,134.2521,0.7822,47.98,2.6285,52.21,1.3898,1.806,0.0251,6
XGBoost,All_Covariates,120,20,1.3753,98.0158,136.76,0.774,48.75,2.6494,51.47,1.3898,1.043,0.0145,7
