Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
ExtraTrees,Tin,20,1,0.6597,0.1642,40.3382,55.2092,9.5545,0.9692,52.42,1.89
ExtraTrees,Tin,20,5,1.0905,0.3439,65.5989,95.6875,23.0085,0.9159,50.33,1.76
ExtraTrees,Tin,20,20,2.1085,0.5918,126.7291,192.302,47.6848,0.6663,49.18,1.91
ExtraTrees,Tin,120,1,0.6592,0.1623,40.326,55.1751,9.2788,0.9689,50.89,0.94
ExtraTrees,Tin,120,5,1.0839,0.3387,65.2545,95.1912,22.2217,0.9154,50.13,2.32
ExtraTrees,Tin,120,20,2.1038,0.5925,126.3196,191.9007,48.5911,0.6724,50.13,2.37
ExtraTrees,Gold,20,1,0.6595,0.1643,40.3219,55.0962,9.4321,0.9692,52.98,1.5
ExtraTrees,Gold,20,5,1.0873,0.3416,65.431,95.2786,22.9033,0.9163,51.11,2.28
ExtraTrees,Gold,20,20,2.0985,0.6016,126.0019,191.2623,48.815,0.671,50.03,2.09
ExtraTrees,Gold,120,1,0.659,0.1637,40.3055,55.08,9.3509,0.9691,52.57,2.44
ExtraTrees,Gold,120,5,1.0848,0.3408,65.2886,94.9558,22.5847,0.9165,50.8,2.63
ExtraTrees,Gold,120,20,2.1,0.5976,126.0779,191.5673,48.4504,0.6679,50.34,1.75
ExtraTrees,WTI,20,1,0.6597,0.164,40.3357,55.1228,9.3888,0.9691,51.09,1.99
ExtraTrees,WTI,20,5,1.0896,0.3451,65.5273,95.3318,23.0353,0.9163,50.39,2.67
ExtraTrees,WTI,20,20,2.099,0.5946,126.0562,191.3542,48.3542,0.671,49.82,1.88
ExtraTrees,WTI,120,1,0.6586,0.1629,40.2885,55.0556,9.2997,0.9691,52.16,2.0
ExtraTrees,WTI,120,5,1.0849,0.34,65.2908,94.9843,22.5489,0.9165,50.18,2.91
ExtraTrees,WTI,120,20,2.1005,0.5968,126.0063,191.403,48.3521,0.6696,50.45,1.68
ExtraTrees,STI,20,1,0.6595,0.1633,40.3227,55.2646,9.4888,0.969,52.47,1.04
ExtraTrees,STI,20,5,1.0847,0.3392,65.2998,95.0895,22.6852,0.9164,50.85,2.29
ExtraTrees,STI,20,20,2.106,0.6049,126.3939,192.2447,49.3275,0.6696,49.87,1.88
ExtraTrees,STI,120,1,0.6594,0.1643,40.326,55.1656,9.4436,0.9691,53.89,1.38
ExtraTrees,STI,120,5,1.086,0.3412,65.3444,95.1476,22.7079,0.9162,50.64,2.58
ExtraTrees,STI,120,20,2.11,0.6072,126.5214,192.0413,48.9071,0.6686,50.4,1.8
XGBoost,None,20,1,0.7096,0.1706,43.423,59.098,9.5263,0.9639,50.03,1.43
XGBoost,None,20,5,1.1688,0.3465,70.5157,102.0676,22.8844,0.9012,51.88,3.22
XGBoost,None,20,20,2.3139,0.668,139.9527,202.2597,44.0711,0.604,50.03,1.82
XGBoost,None,120,1,0.709,0.1735,43.3602,58.0883,9.3227,0.9647,50.08,1.38
XGBoost,None,120,5,1.1749,0.3816,70.5652,100.8772,25.7357,0.9061,51.0,3.79
XGBoost,None,120,20,2.373,0.73,142.7009,211.0193,54.9847,0.6049,48.07,1.22
