Model,Covariates,Window,Horizon,mape_mean,mape_std,da_mean,mase_mean,n_folds
LightGBM,M2,20,20,2.28272,0.6315375499524948,50.077999999999996,3.98078,5
LightGBM,M2,120,1,0.69736,0.17024330530155954,49.948,1.22034,5
LightGBM,M2,120,5,1.11798,0.35305848240765997,51.248000000000005,1.9497399999999998,5
LightGBM,M2,120,20,2.1614,0.5461315821301675,49.974000000000004,3.78074,5
LightGBM,NPL_Ratio,20,1,0.69094,0.16230330557323847,50.462,1.20758,5
LightGBM,NPL_Ratio,20,5,1.1454,0.2678094751871188,51.25,2.0116199999999997,5
LightGBM,NPL_Ratio,20,20,2.13598,0.6768552334140586,51.872,3.71766,5
LightGBM,NPL_Ratio,120,1,0.6948399999999999,0.16738549220287888,51.134,1.21342,5
LightGBM,NPL_Ratio,120,5,1.1336,0.33842755502470545,51.614,1.982,5
LightGBM,NPL_Ratio,120,20,2.1635400000000002,0.5876598063505789,49.182,3.7863599999999997,5
LightGBM,Nickel,20,1,0.68346,0.14654940463884525,50.821999999999996,1.1969400000000001,5
LightGBM,Nickel,20,5,1.15142,0.22922507934342606,49.168,2.02708,5
LightGBM,Nickel,20,20,2.28492,0.5157906765345803,50.344,3.996,5
LightGBM,Nickel,120,1,0.6934400000000001,0.153296780788117,49.742000000000004,1.21402,5
LightGBM,Nickel,120,5,1.16456,0.2678959368859483,49.010000000000005,2.04222,5
LightGBM,Nickel,120,20,2.23818,0.4951835538464498,50.45,3.93418,5
LightGBM,STI,20,1,0.68882,0.15499240949156187,52.629999999999995,1.20498,5
LightGBM,STI,20,5,1.16586,0.2674786215756317,50.418,2.0459199999999997,5
LightGBM,STI,20,20,2.21814,0.6121626728247974,49.656,3.86398,5
LightGBM,STI,120,1,0.68728,0.1647977153967858,50.977999999999994,1.20146,5
LightGBM,STI,120,5,1.14412,0.31658878217650105,50.362,1.99648,5
LightGBM,STI,120,20,2.2360200000000003,0.5959071043375807,50.184000000000005,3.9156,5
LightGBM,Screening1,20,1,0.67908,0.14701818594990212,53.712,1.19054,5
LightGBM,Screening1,20,5,1.1772399999999998,0.2657885494147557,51.092,2.06498,5
LightGBM,Screening1,20,20,2.33902,0.489524582630944,49.656,4.1076,5
LightGBM,Screening1,120,1,0.68496,0.14383799219955765,50.206,1.2005199999999998,5
LightGBM,Screening1,120,5,1.1433,0.25299261846939325,50.678000000000004,2.00232,5
LightGBM,Screening1,120,20,2.37148,0.6515318464971611,49.815999999999995,4.14724,5
LightGBM,Screening2,20,1,0.6838599999999999,0.1388514421963272,52.32000000000001,1.19812,5
LightGBM,Screening2,20,5,1.16398,0.25535087037251314,50.988,2.0444,5
LightGBM,Screening2,20,20,2.34426,0.6566602302561042,48.494,4.10336,5
LightGBM,Screening2,120,1,0.68364,0.146020231474957,50.826,1.19746,5
LightGBM,Screening2,120,5,1.1404400000000001,0.24498133194184415,50.989999999999995,2.00212,5
LightGBM,Screening2,120,20,2.18914,0.6010512523903432,50.662,3.82592,5
LightGBM,Silver,20,1,0.6885199999999999,0.15694287814360997,52.215999999999994,1.20492,5
LightGBM,Silver,20,5,1.1347200000000002,0.2801240028987163,52.394000000000005,1.98674,5
LightGBM,Silver,20,20,2.25628,0.5704131984798386,50.236000000000004,3.95498,5
LightGBM,Silver,120,1,0.68444,0.15478188847536392,51.803999999999995,1.19956,5
LightGBM,Silver,120,5,1.12212,0.2773646462691307,52.239999999999995,1.96616,5
LightGBM,Silver,120,20,2.1523399999999997,0.6231819300974636,50.763999999999996,3.77034,5
LightGBM,Tin,20,1,0.7049,0.14076460847812566,49.332,1.2365,5
LightGBM,Tin,20,5,1.17156,0.2186771775929075,49.896,2.06212,5
LightGBM,Tin,20,20,2.32282,0.56832193517407,49.87,4.08058,5
LightGBM,Tin,120,1,0.6994199999999999,0.140494046137194,49.744,1.2266400000000002,5
LightGBM,Tin,120,5,1.14632,0.27018600444878715,50.364,2.01202,5
LightGBM,Tin,120,20,2.2676000000000003,0.4607060776677468,50.132,4.01144,5
LightGBM,USDIDR,20,1,0.68078,0.15658108761916295,51.751999999999995,1.19036,5
LightGBM,USDIDR,20,5,1.1316,0.28378036401414397,51.042,1.98446,5
LightGBM,USDIDR,20,20,2.2785800000000003,0.6175517120047519,49.868,3.97774,5
LightGBM,USDIDR,120,1,0.6845000000000001,0.16721701468451106,50.513999999999996,1.19632,5
LightGBM,USDIDR,120,5,1.1519,0.29259624057735256,50.21,2.01904,5
LightGBM,USDIDR,120,20,2.23326,0.6277825244461652,49.288,3.9173,5
LightGBM,US_Treasury_10Y,20,1,0.71226,0.13628928057628012,49.022000000000006,1.25076,5
LightGBM,US_Treasury_10Y,20,5,1.18866,0.24796438857223038,48.802,2.0872,5
LightGBM,US_Treasury_10Y,20,20,2.3503800000000004,0.5646481532777735,50.291999999999994,4.126,5
LightGBM,US_Treasury_10Y,120,1,0.72066,0.12086592985618402,48.45399999999999,1.2655,5
LightGBM,US_Treasury_10Y,120,5,1.19972,0.207136385022043,49.428,2.1125800000000003,5
LightGBM,US_Treasury_10Y,120,20,2.37696,0.42361688823747334,47.862,4.198980000000001,5
LightGBM,WTI,20,1,0.68726,0.14980625153844554,52.938,1.20344,5
LightGBM,WTI,20,5,1.1469799999999999,0.2758093399433746,50.988,2.0128,5
LightGBM,WTI,20,20,2.27998,0.5462144148592202,49.815999999999995,3.9924999999999997,5
LightGBM,WTI,120,1,0.6853199999999999,0.15970382587777918,51.136,1.1992,5
LightGBM,WTI,120,5,1.14164,0.29879481755880566,51.720000000000006,1.99876,5
LightGBM,WTI,120,20,2.1174399999999998,0.685418677160172,51.029999999999994,3.6812799999999997,5
RandomForest,All_Commodity_STI,20,1,0.6394,0.15387832855863753,52.732000000000006,1.11738,5
RandomForest,All_Commodity_STI,20,5,1.0537800000000002,0.26775910255302265,51.878,1.84176,5
RandomForest,All_Commodity_STI,20,20,2.01502,0.5497652471737368,49.286,3.52074,5
RandomForest,All_Commodity_STI,120,1,0.63974,0.15342328050201504,52.062,1.11806,5
RandomForest,All_Commodity_STI,120,5,1.05016,0.26137124554931435,50.884,1.83732,5
RandomForest,All_Commodity_STI,120,20,2.0438,0.560096058725644,49.234,3.56984,5
RandomForest,All_Covariates,20,1,0.6371800000000001,0.151114797422357,53.556,1.11388,5
RandomForest,All_Covariates,20,5,1.05382,0.24809979242232347,50.938,1.8445399999999998,5
RandomForest,All_Covariates,20,20,2.0087800000000002,0.5401471808683261,49.602,3.50976,5
RandomForest,All_Covariates,120,1,0.64012,0.14949938795861334,49.846,1.1191600000000002,5
RandomForest,All_Covariates,120,5,1.0504,0.2514920475879904,50.0,1.8394,5
RandomForest,All_Covariates,120,20,2.0357,0.5584255859109609,49.184,3.5523200000000004,5
RandomForest,All_Macro_no_UST,20,1,0.639,0.15211857217315702,51.96,1.11654,5
RandomForest,All_Macro_no_UST,20,5,1.04376,0.2575131996616874,51.562,1.8267600000000002,5
RandomForest,All_Macro_no_UST,20,20,2.01394,0.5633721975745699,49.498000000000005,3.5127200000000003,5
RandomForest,All_Macro_no_UST,120,1,0.63808,0.15152454256654269,50.926,1.1151,5
RandomForest,All_Macro_no_UST,120,5,1.04086,0.2575658808926369,50.989999999999995,1.8226599999999997,5
RandomForest,All_Macro_no_UST,120,20,2.0200199999999997,0.5772281931783998,49.606,3.5226599999999997,5
RandomForest,BI_Rate,20,1,0.6408,0.15425877608745645,50.256,1.11942,5
RandomForest,BI_Rate,20,5,1.05108,0.26774000821692673,51.40599999999999,1.8383800000000001,5
RandomForest,BI_Rate,20,20,2.01972,0.5691594741370819,49.448,3.5239,5
RandomForest,BI_Rate,120,1,0.64008,0.15399456808602052,51.65,1.1183599999999998,5
RandomForest,BI_Rate,120,5,1.04232,0.25933164481026977,51.40599999999999,1.82532,5
RandomForest,BI_Rate,120,20,2.02694,0.5824223493307928,49.656,3.53416,5
RandomForest,Baseline,20,1,0.6404400000000001,0.15498192797871627,52.525999999999996,1.1185800000000001,5
RandomForest,Baseline,20,5,1.05272,0.2694396537260246,51.25,1.8405,5
RandomForest,Baseline,20,20,2.0125,0.5613690586414609,49.501999999999995,3.5121200000000004,5
RandomForest,Baseline,120,1,0.64334,0.15885454982467456,50.565999999999995,1.1229600000000002,5
RandomForest,Baseline,120,5,1.04614,0.2652019475795757,51.510000000000005,1.83066,5
RandomForest,Baseline,120,20,2.03402,0.592685740506721,49.552,3.54398,5
RandomForest,CPI,20,1,0.6389400000000001,0.15311766064043686,51.806,1.11622,5
RandomForest,CPI,20,5,1.04906,0.2646735593141107,51.717999999999996,1.83494,5
RandomForest,CPI,20,20,2.016,0.5630300480436191,49.604,3.51786,5
RandomForest,CPI,120,1,0.63814,0.15206345057245016,52.422000000000004,1.1154600000000001,5
RandomForest,CPI,120,5,1.0409599999999999,0.2570257633001019,51.302,1.8233000000000001,5
RandomForest,CPI,120,20,2.0224,0.5808295145737687,49.288,3.526,5
RandomForest,Coal,20,1,0.6405799999999999,0.15525463600163444,51.803999999999995,1.11892,5
