Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,Improvement_pct,Passed
LightGBM,20,1,NPL_Ratio,0.7124,0.7057,-0.949,False
LightGBM,20,1,USDIDR,0.7032,0.7057,0.354,True
LightGBM,20,1,GDP,0.7074,0.7057,-0.241,False
LightGBM,20,1,US_Treasury_10Y,0.7197,0.7057,-1.984,False
LightGBM,20,1,Coal,0.7161,0.7057,-1.474,False
LightGBM,20,1,Copper,0.7007,0.7057,0.709,True
LightGBM,20,1,Nickel,0.7118,0.7057,-0.864,False
LightGBM,20,1,Silver,0.7063,0.7057,-0.085,False
LightGBM,20,1,Tin,0.7205,0.7057,-2.097,False
LightGBM,20,1,Gold,0.7045,0.7057,0.17,False
LightGBM,20,1,WTI,0.7107,0.7057,-0.709,False
LightGBM,20,1,STI,0.7118,0.7057,-0.864,False
LightGBM,20,5,BI_Rate,1.1518,1.1676,1.353,True
LightGBM,20,5,CPI,1.1666,1.1676,0.086,False
LightGBM,20,5,M2,1.1751,1.1676,-0.642,False
LightGBM,20,5,NPL_Ratio,1.1781,1.1676,-0.899,False
LightGBM,20,5,USDIDR,1.1736,1.1676,-0.514,False
LightGBM,20,5,GDP,1.1585,1.1676,0.779,True
LightGBM,20,5,US_Treasury_10Y,1.2005,1.1676,-2.818,False
LightGBM,20,5,Coal,1.1718,1.1676,-0.36,False
LightGBM,20,5,Copper,1.1365,1.1676,2.664,True
LightGBM,20,5,Nickel,1.1682,1.1676,-0.051,False
LightGBM,20,5,Silver,1.1447,1.1676,1.961,True
LightGBM,20,5,Tin,1.1542,1.1676,1.148,True
LightGBM,20,5,Gold,1.1356,1.1676,2.741,True
LightGBM,20,5,WTI,1.183,1.1676,-1.319,False
LightGBM,20,5,STI,1.1611,1.1676,0.557,True
LightGBM,20,20,BI_Rate,2.3076,2.3094,0.078,False
LightGBM,20,20,CPI,2.3428,2.3094,-1.446,False
LightGBM,20,20,M2,2.3688,2.3094,-2.572,False
LightGBM,20,20,NPL_Ratio,2.3676,2.3094,-2.52,False
LightGBM,20,20,USDIDR,2.3277,2.3094,-0.792,False
LightGBM,20,20,GDP,2.3385,2.3094,-1.26,False
LightGBM,20,20,US_Treasury_10Y,2.4271,2.3094,-5.097,False
LightGBM,20,20,Coal,2.4392,2.3094,-5.621,False
LightGBM,20,20,Copper,2.2807,2.3094,1.243,True
LightGBM,20,20,Nickel,2.3402,2.3094,-1.334,False
LightGBM,20,20,Silver,2.4036,2.3094,-4.079,False
LightGBM,20,20,Tin,2.4256,2.3094,-5.032,False
LightGBM,20,20,Gold,2.4149,2.3094,-4.568,False
LightGBM,20,20,WTI,2.2857,2.3094,1.026,True
LightGBM,20,20,STI,2.402,2.3094,-4.01,False
LightGBM,120,1,BI_Rate,0.7066,0.7043,-0.327,False
LightGBM,120,1,CPI,0.7074,0.7043,-0.44,False
LightGBM,120,1,M2,0.7011,0.7043,0.454,True
LightGBM,120,1,NPL_Ratio,0.7084,0.7043,-0.582,False
LightGBM,120,1,USDIDR,0.7013,0.7043,0.426,True
LightGBM,120,1,GDP,0.7061,0.7043,-0.256,False
LightGBM,120,1,US_Treasury_10Y,0.7214,0.7043,-2.428,False
LightGBM,120,1,Coal,0.7187,0.7043,-2.045,False
LightGBM,120,1,Copper,0.7118,0.7043,-1.065,False
LightGBM,120,1,Nickel,0.7008,0.7043,0.497,True
LightGBM,120,1,Silver,0.6987,0.7043,0.795,True
LightGBM,120,1,Tin,0.7143,0.7043,-1.42,False
LightGBM,120,1,Gold,0.7096,0.7043,-0.753,False
LightGBM,120,1,WTI,0.7094,0.7043,-0.724,False
LightGBM,120,1,STI,0.696,0.7043,1.178,True
LightGBM,120,5,BI_Rate,1.1827,1.1848,0.177,False
LightGBM,120,5,CPI,1.1744,1.1848,0.878,True
LightGBM,120,5,M2,1.1783,1.1848,0.549,True
LightGBM,120,5,NPL_Ratio,1.1782,1.1848,0.557,True
LightGBM,120,5,USDIDR,1.1748,1.1848,0.844,True
LightGBM,120,5,GDP,1.1721,1.1848,1.072,True
LightGBM,120,5,US_Treasury_10Y,1.2314,1.1848,-3.933,False
LightGBM,120,5,Coal,1.1862,1.1848,-0.118,False
LightGBM,120,5,Copper,1.1855,1.1848,-0.059,False
LightGBM,120,5,Nickel,1.1925,1.1848,-0.65,False
LightGBM,120,5,Silver,1.1701,1.1848,1.241,True
LightGBM,120,5,Tin,1.1827,1.1848,0.177,False
LightGBM,120,5,Gold,1.1556,1.1848,2.465,True
LightGBM,120,5,WTI,1.1782,1.1848,0.557,True
LightGBM,120,5,STI,1.1821,1.1848,0.228,False
