Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
RandomForest,120,5,GDP,1.0869,1.0882,0.119,50.44,50.59,-0.15,0.004,False,False,False,False
RandomForest,120,5,US_Treasury_10Y,1.098,1.0882,-0.901,50.33,50.59,-0.26,-0.03,False,False,False,False
RandomForest,120,5,Coal,1.091,1.0882,-0.257,50.49,50.59,-0.1,-0.008,False,False,False,False
RandomForest,120,5,Copper,1.0893,1.0882,-0.101,50.28,50.59,-0.31,-0.003,False,False,False,False
RandomForest,120,5,Nickel,1.0913,1.0882,-0.285,50.54,50.59,-0.05,-0.009,False,False,False,False
RandomForest,120,5,Silver,1.0919,1.0882,-0.34,50.13,50.59,-0.46,-0.011,False,False,False,False
RandomForest,120,5,Tin,1.0911,1.0882,-0.266,49.92,50.59,-0.67,-0.008,False,False,False,False
RandomForest,120,5,Gold,1.0825,1.0882,0.524,50.59,50.59,0.0,0.017,True,False,True,False
RandomForest,120,5,WTI,1.0894,1.0882,-0.11,50.54,50.59,-0.05,-0.003,False,False,False,False
RandomForest,120,5,STI,1.0857,1.0882,0.23,50.33,50.59,-0.26,0.007,False,False,False,False
RandomForest,120,20,BI_Rate,2.1032,2.1073,0.195,50.08,50.24,-0.16,0.007,False,False,False,False
RandomForest,120,20,CPI,2.0984,2.1073,0.422,49.71,50.24,-0.53,0.015,True,False,True,False
RandomForest,120,20,M2,2.1047,2.1073,0.123,49.92,50.24,-0.32,0.004,False,False,False,False
RandomForest,120,20,NPL_Ratio,2.1004,2.1073,0.327,49.71,50.24,-0.53,0.011,True,False,True,False
RandomForest,120,20,USDIDR,2.1052,2.1073,0.1,50.24,50.24,0.0,0.003,False,False,False,False
RandomForest,120,20,GDP,2.1004,2.1073,0.327,50.13,50.24,-0.11,0.011,True,False,True,False
RandomForest,120,20,US_Treasury_10Y,2.1271,2.1073,-0.94,50.08,50.24,-0.16,-0.034,False,False,False,False
RandomForest,120,20,Coal,2.1072,2.1073,0.005,49.87,50.24,-0.37,0.0,False,False,False,False
RandomForest,120,20,Copper,2.1074,2.1073,-0.005,49.87,50.24,-0.37,-0.0,False,False,False,False
RandomForest,120,20,Nickel,2.151,2.1073,-2.074,49.87,50.24,-0.37,-0.076,False,False,False,False
RandomForest,120,20,Silver,2.1004,2.1073,0.327,50.13,50.24,-0.11,0.011,True,False,True,False
RandomForest,120,20,Tin,2.1068,2.1073,0.024,49.87,50.24,-0.37,0.001,False,False,False,False
RandomForest,120,20,Gold,2.0979,2.1073,0.446,50.13,50.24,-0.11,0.016,True,False,True,False
RandomForest,120,20,WTI,2.1009,2.1073,0.304,49.82,50.24,-0.42,0.011,True,False,True,False
RandomForest,120,20,STI,2.0996,2.1073,0.365,50.29,50.24,0.05,0.013,True,False,True,False
ExtraTrees,20,1,BI_Rate,0.6599,0.6608,0.136,52.42,51.81,0.61,0.005,False,False,False,False
ExtraTrees,20,1,CPI,0.6595,0.6608,0.197,52.57,51.81,0.76,0.008,False,False,False,False
ExtraTrees,20,1,M2,0.66,0.6608,0.121,51.91,51.81,0.1,0.005,False,False,False,False
ExtraTrees,20,1,NPL_Ratio,0.6597,0.6608,0.166,52.42,51.81,0.61,0.007,False,False,False,False
ExtraTrees,20,1,USDIDR,0.6589,0.6608,0.288,53.08,51.81,1.27,0.012,False,True,True,False
ExtraTrees,20,1,GDP,0.6598,0.6608,0.151,52.06,51.81,0.25,0.006,False,False,False,False
ExtraTrees,20,1,US_Treasury_10Y,0.661,0.6608,-0.03,49.67,51.81,-2.14,-0.001,False,False,False,False
ExtraTrees,20,1,Coal,0.66,0.6608,0.121,52.42,51.81,0.61,0.005,False,False,False,False
ExtraTrees,20,1,Copper,0.6577,0.6608,0.469,53.08,51.81,1.27,0.019,True,True,True,True
ExtraTrees,20,1,Nickel,0.66,0.6608,0.121,51.65,51.81,-0.16,0.005,False,False,False,False
ExtraTrees,20,1,Silver,0.6579,0.6608,0.439,54.66,51.81,2.85,0.018,True,True,True,True
ExtraTrees,20,1,Tin,0.6597,0.6608,0.166,52.42,51.81,0.61,0.007,False,False,False,False
ExtraTrees,20,1,Gold,0.6595,0.6608,0.197,52.98,51.81,1.17,0.008,False,True,True,False
ExtraTrees,20,1,WTI,0.6597,0.6608,0.166,51.09,51.81,-0.72,0.007,False,False,False,False
ExtraTrees,20,1,STI,0.6595,0.6608,0.197,52.47,51.81,0.66,0.008,False,False,False,False
ExtraTrees,20,5,BI_Rate,1.0876,1.0892,0.147,50.9,51.11,-0.21,0.005,False,False,False,False
ExtraTrees,20,5,CPI,1.0867,1.0892,0.23,50.69,51.11,-0.42,0.007,False,False,False,False
ExtraTrees,20,5,M2,1.0833,1.0892,0.542,50.9,51.11,-0.21,0.017,True,False,True,False
ExtraTrees,20,5,NPL_Ratio,1.0877,1.0892,0.138,50.64,51.11,-0.47,0.004,False,False,False,False
ExtraTrees,20,5,USDIDR,1.0907,1.0892,-0.138,50.8,51.11,-0.31,-0.004,False,False,False,False
ExtraTrees,20,5,GDP,1.0873,1.0892,0.174,50.59,51.11,-0.52,0.006,False,False,False,False
